"node_brief","node_draft","contribution","type_of_change","perspective"
"V1 · Research that is visible, valued, impactful (brief v0.1)","A1 · Quality & Trust (taxonomy v1.0)","A suggested change","Wording (name or description)","S1 · Research-Performing Institutions"
"A1 · Quality & Trust (brief v0.1)","A2 · Collaboration & Innovation (taxonomy v1.0)","An example","Grouping (axis or outcome it belongs to)","S2 · Individual Researchers"
"A2 · Collaboration & Innovation (brief v0.1)","A3 · Impact & Relevance (taxonomy v1.0)","Both a suggested change and an example","Add something missing","S3 · Funders"
"A3 · Impact & Relevance (brief v0.1)","B1 · Research Output Quality & Traceability (taxonomy v1.0)","","Remove or merge","S4 · Research Infrastructure Providers"
"B1 · Research Output Quality & Traceability (brief v0.1)","B2 · Governance, Ethics & Compliance (taxonomy v1.0)","","Translation (German or Spanish text)","S5 · Policy Makers and Evaluators"
"B2 · Governance, Ethics & Compliance (brief v0.1)","B3 · Capacity Building & Inclusive Training (taxonomy v1.0)","","Other","S6 · Civil Society and NGOs"
"B8 · Integrity & Accountability (brief v0.1)","B4 · Interoperability & Metadata Quality (taxonomy v1.0)","","","S7 · Libraries and Research Managers"
"B3 · Capacity Building & Inclusive Training (brief v0.1)","B5 · Evaluation for Learning & Responsibility (taxonomy v1.0)","","","S8 · Publishers and Journals"
"B4 · Interoperability & Metadata Quality (brief v0.1)","B6 · Visibility, Equity & Societal Relevance (taxonomy v1.0)","","","S9 · Technology and Service Providers"
"B7 · Infrastructure & Technical Enablement (brief v0.1)","B7 · Infrastructure & Technical Enablement (taxonomy v1.0)","","","S10 · Intergovernmental Organizations"
"B5 · Evaluation for Learning & Responsibility (brief v0.1)","B8 · Integrity & Accountability (taxonomy v1.0)","","","S11 · Networks and Alliances"
"B6 · Visibility, Equity & Societal Relevance (brief v0.1)","S1 · Research-Performing Institutions (taxonomy v1.0)","","","Other"
"O1 · Trustworthy Research (brief v0.1)","S2 · Individual Researchers (taxonomy v1.0)","","",""
"O2 · Sustainable Innovation (brief v0.1)","S3 · Funders (taxonomy v1.0)","","",""
"O3 · Societal Impact (brief v0.1)","S4 · Research Infrastructure Providers (taxonomy v1.0)","","",""
"","S5 · Policy Makers and Evaluators (taxonomy v1.0)","","",""
"","S6 · Civil Society and NGOs (taxonomy v1.0)","","",""
"","S7 · Libraries and Research Managers (taxonomy v1.0)","","",""
"","S8 · Publishers and Journals (taxonomy v1.0)","","",""
"","S9 · Technology and Service Providers (taxonomy v1.0)","","",""
"","S10 · Intergovernmental Organizations (taxonomy v1.0)","","",""
"","S11 · Networks and Alliances (taxonomy v1.0)","","",""
"","R1 · Producer (taxonomy v1.0)","","",""
"","R2 · Evaluator (taxonomy v1.0)","","",""
"","R3 · Enabler (taxonomy v1.0)","","",""
"","R4 · Policy Maker (taxonomy v1.0)","","",""
"","R5 · Support & Stewardship (taxonomy v1.0)","","",""
"","R6 · Advocate / Civil Actor (taxonomy v1.0)","","",""
"","R7 · Coordinator / Facilitator (taxonomy v1.0)","","",""
"","R8 · Data Analyst (taxonomy v1.0)","","",""
